BX = 000 Event : 1
0x00 0100010|0110011 0x1133
0x01 0101000|0110111 0x1437
0x02 0101001|0110111 0x14B7
0x03 0101011|0110111 0x15B7
0x04 0101101|0110111 0x16B7
0x05 1001001|0101110 0x24AE
BX = 001 Event : 2
0x00 0110000|0101010 0x182A
0x01 0110001|0101010 0x18AA
0x02 0110010|0101010 0x192A
0x03 0110100|0101010 0x1A2A
BX = 010 Event : 3
0x00 0011111|0101000 0x0FA8
BX = 011 Event : 4
0x00 0001000|0100101 0x0425
0x01 0001000|0100110 0x0426
0x02 0010011|0110011 0x09B3
0x03 0110110|1000001 0x1B41
0x04 1000001|1001000 0x20C8
0x05 1000010|1001000 0x2148
BX = 100 Event : 5
0x00 0010110|0110100 0x0B34
0x01 0010110|0111001 0x0B39
0x02 0011101|0111001 0x0EB9
0x03 0011101|0111100 0x0EBC
0x04 0011101|0111110 0x0EBE
0x05 0011110|0111001 0x0F39
0x06 0011110|0111100 0x0F3C
0x07 0011110|0111110 0x0F3E
0x08 0011111|0111001 0x0FB9
0x09 0011111|0111100 0x0FBC
0x0a 0011111|0111110 0x0FBE
0x0b 0101000|0101001 0x1429
0x0c 0101011|0101100 0x15AC
0x0d 0101011|0101101 0x15AD
0x0e 0110011|0110011 0x19B3
0x0f 0110011|0110100 0x19B4
BX = 101 Event : 6
0x00 0011000|0110100 0x0C34
0x01 0011001|0110100 0x0CB4
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0001000|0010001 0x0411
0x01 0001001|0010001 0x0491
0x02 0010011|0100100 0x09A4
BX = 000 Event : 9
0x00 0000010|0010000 0x0110
0x01 0000110|0011001 0x0319
0x02 0000111|0011001 0x0399
0x03 0100011|0010000 0x1190
0x04 0110100|0110011 0x1A33
0x05 0110110|0110011 0x1B33
BX = 001 Event : 10
BX = 010 Event : 11
BX = 011 Event : 12
0x00 0011100|0111101 0x0E3D
0x01 0011101|0111101 0x0EBD
0x02 0011101|0111110 0x0EBE
0x03 0011110|0111101 0x0F3D
0x04 0011110|0111110 0x0F3E
0x05 0011111|0111101 0x0FBD
0x06 0011111|0111110 0x0FBE
0x07 0100000|0111110 0x103E
0x08 0110011|0100110 0x19A6
0x09 0110011|0100111 0x19A7
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0100011|0101011 0x11AB
BX = 111 Event : 16
0x00 0000100|0010110 0x0216
