BX = 000 Event : 1
BX = 001 Event : 2
00 001|000001|0101|100|00
01 110|000010|1001|110|00
02 111|000110|1010|000|01
03 000|001000|1011|011|00
BX = 010 Event : 3
BX = 011 Event : 4
00 001|000100|0101|010|00
01 001|000101|1010|100|00
02 111|000110|0100|011|00
03 111|000111|0101|000|00
BX = 100 Event : 5
00 011|000010|1011|110|00
01 000|001100|0100|100|00
BX = 101 Event : 6
00 101|000110|1110|101|00
01 101|000111|1111|001|00
02 000|001111|1000|010|00
BX = 110 Event : 7
00 011|000010|0010|110|00
01 011|000011|0111|010|00
02 111|001101|1010|010|00
BX = 111 Event : 8
BX = 000 Event : 9
00 011|000001|0001|101|00
01 011|000100|0010|011|00
02 110|001000|0000|011|00
03 001|001001|1110|000|01
04 000|001111|0110|110|00
05 111|010110|0000|010|00
BX = 001 Event : 10
00 011|000000|0001|000|00
01 010|000100|0110|110|00
02 111|001100|0001|000|00
03 111|001101|0001|000|00
04 111|010000|0010|001|00
BX = 010 Event : 11
00 011|000000|1110|101|00
01 101|000101|1110|110|00
02 110|001001|0100|110|00
03 000|001111|0101|011|00
BX = 011 Event : 12
BX = 100 Event : 13
BX = 101 Event : 14
00 011|000000|0000|111|00
01 011|000011|0000|111|00
02 010|000100|0101|101|00
03 010|000101|1100|011|00
04 001|000111|0101|101|00
05 111|001100|1000|110|00
BX = 110 Event : 15
BX = 111 Event : 16
00 101|000110|1010|111|00
01 101|001010|0000|110|00
BX = 000 Event : 17
00 001|000110|1000|010|00
BX = 001 Event : 18
00 010|000001|0010|110|00
01 001|000011|0010|111|00
02 111|001011|0100|010|00
BX = 010 Event : 19
00 111|000101|1101|000|01
BX = 011 Event : 20
00 000|001101|0100|001|00
BX = 100 Event : 21
00 000|010011|0000|011|00
01 000|010111|0000|011|00
02 000|011001|1011|100|00
03 111|011011|0111|000|00
BX = 101 Event : 22
BX = 110 Event : 23
00 111|000100|0010|001|00
01 111|000110|1110|010|00
02 000|000111|1110|100|00
BX = 111 Event : 24
00 001|001001|0000|011|00
01 000|010001|0000|011|00
02 000|010010|1011|100|00
BX = 000 Event : 25
00 000|001011|0110|011|00
01 111|001111|0010|011|00
02 111|010100|1010|000|01
BX = 001 Event : 26
BX = 010 Event : 27
BX = 011 Event : 28
00 011|000000|0010|101|00
01 011|000010|1010|011|00
BX = 100 Event : 29
BX = 101 Event : 30
00 011|000000|1100|101|00
01 011|000011|0000|111|00
02 011|000100|0000|111|00
03 010|000101|0101|101|00
04 010|000110|0101|101|00
05 110|001001|1100|100|00
06 001|001011|1100|011|00
07 111|001101|1000|110|00
08 111|001110|1101|100|00
BX = 110 Event : 31
00 101|000111|0011|101|00
01 111|001110|0010|000|00
BX = 111 Event : 32
00 111|001110|1111|101|00
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
00 011|000000|1100|110|00
01 110|000100|1110|011|00
BX = 011 Event : 36
00 011|000101|1010|010|00
01 010|001000|1001|001|00
02 101|001100|1010|010|00
03 101|001101|0010|001|00
04 001|001110|1011|101|00
05 111|011000|1001|000|01
BX = 100 Event : 37
BX = 101 Event : 38
00 001|000110|1110|100|00
01 000|001100|1010|011|00
BX = 110 Event : 39
00 001|000111|1011|001|00
01 000|001001|0000|100|00
02 000|001010|0100|101|00
BX = 111 Event : 40
00 101|000001|1111|100|00
01 110|000100|1111|100|00
BX = 000 Event : 41
00 011|000010|0011|010|00
01 001|000110|0100|001|00
02 000|001011|0011|001|00
BX = 001 Event : 42
BX = 010 Event : 43
BX = 011 Event : 44
00 111|010000|1111|000|00
BX = 100 Event : 45
BX = 101 Event : 46
00 011|000001|0111|110|00
01 010|000111|0000|101|00
02 010|001000|0001|110|00
03 001|010001|1101|110|00
04 000|010011|0000|101|00
05 000|010101|0000|011|00
BX = 110 Event : 47
00 010|000011|1001|100|00
BX = 111 Event : 48
00 111|010010|0101|101|00
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
BX = 000 Event : 57
BX = 001 Event : 58
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
BX = 101 Event : 62
BX = 110 Event : 63
BX = 111 Event : 64
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
BX = 011 Event : 68
BX = 100 Event : 69
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
BX = 000 Event : 73
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
BX = 100 Event : 85
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
BX = 101 Event : 94
BX = 110 Event : 95
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
BX = 010 Event : 99
BX = 011 Event : 100
